Seq. No.,2017 NAPCS Code,Title
136,11101240101,"Perishable prepared foods, including salads and sandwiches, vegetables and potatoes peeled and cut, fresh fruits cut and packaged, Mexican specialties, pizza, and tofu (not frozen or canned), and fresh macaroni products"
137,1110125,Other food products
138,111012501,Other food products
139,11101250101,Other food products
140,1110126,"Beverages, including ice"
141,111012601,"Beverages, including ice"
142,11101260101,"Soft drinks, bottled water, and ice"
143,11101260102,"Coffee and tea, except canned or bottled"
144,11101260103,"Flavoring powders, tablets, and paste, including dry mix cocktails"
145,11101260104,"Canned and fresh fruit and vegetable juices, nectars and concentrates"
146,11101260105,Frozen fruit and vegetable juices and other frozen beverages
147,11101260106,"Beer, ale, and malt beverages"
148,11101260107,"Alcoholic beverages, except beer"
149,11102,Wholesaling services for food and beverages purchased for future consumption 
150,1110201,Wholesaling services for food and beverages purchased for future consumption 
151,111020101,Wholesaling services for food and beverages purchased for future consumption 
152,11102010101,Wholesaling services for packaged frozen food
153,11102010102,"Wholesaling services for dairy products, except dried, canned, condensed, and evaporated dairy products"
154,11102010103,"Wholesaling services for eggs and poultry, except canned and frozen poultry products"
155,11102010104,"Wholesaling services for cookies, confectionery, snack foods, bread, and baked goods"
156,11102010105,"Wholesaling services for fish and seafood, except canned and frozen fish and seafood"
157,11102010106,"Wholesaling services for meat and meat products, except canned and frozen"
158,11102010107,Wholesaling services for fresh fruits and vegetables
159,11102010108,Wholesaling services for food dry goods and other foods
160,11102010109,"Wholesaling services for soft drinks, bottled water, and nonalcoholic beverages"
161,11102010110,Wholesaling services for alcoholic beverages
162,11102010111,Wholesaling services for ice
163,11103,Retailing services for food and beverages purchased for future consumption 
164,1110301,Retailing services for food and beverages purchased for future consumption 
165,111030101,Retailing services for food and beverages purchased for future consumption 
166,11103010101,Retailing services for fresh meat and poultry
167,11103010102,Retailing services for fresh fish and seafood
168,11103010103,Retailing services for fresh fruit and vegetables
169,11103010104,"Retailing services for eggs and dairy, except ice cream"
170,11103010105,Retailing services for baked goods
171,11103010106,Retailing services for perishable prepared foods
172,11103010107,Retailing services for frozen foods
173,11103010108,"Retailing services for candy, prepackaged cookies, and snack foods"
174,11103010109,Retailing services for food dry goods and other foods purchased for future consumption
175,11103010110,Retailing services for soft drinks and nonalcoholic beverages
176,11103010111,"Retailing services for ice
"
177,11103010112,Retailing services for alcoholic beverages
178,112,"Meals, snacks, other food items, and beverages, prepared and served or dispensed, for immediate consumption "
179,11201,"Meals, snacks, other food items, and beverages, prepared and served or dispensed, for immediate consumption "
180,1120101,"Meals, snacks, other food items, and beverages, prepared and served or dispensed, for immediate consumption "
181,112010101,"Meals, snacks, other food items, and beverages, prepared and served or dispensed, for immediate consumption "
182,11201010101,"Meals, snacks, other food items, and nonalcoholic beverages, prepared and served or dispensed for immediate consumption"
183,11201010102,"Alcoholic beverages, prepared and served or dispensed for immediate consumption"
184,11201010103,"Meals, snacks, other food items, and beverages for immediate consumption, prepared under long-term contract"
185,11201010104,"Meals, snacks, other food items, and beverages prepared for catered events"
186,113,"Tobacco products, smoking accessories, and related products"
187,11301,Tobacco products and smoking accessories
188,1130101,Tobacco products and smoking accessories
189,113010101,Tobacco products and smoking accessories
190,11301010101,"Cigarettes, including nontobacco"
191,11301010102,Other tobacco products and smoking accessories
192,11302,Wholesaling services for tobacco products and smoking accessories
193,1130201,Wholesaling services for tobacco products and smoking accessories
194,113020101,Wholesaling services for tobacco products and smoking accessories
195,11302010101,Wholesaling services for tobacco products and smoking accessories
196,11303,Retailing services for tobacco products and smoking accessories
197,1130301,Retailing services for tobacco products and smoking accessories
198,113030101,Retailing services for tobacco products and smoking accessories
199,11303010101,Retailing services for tobacco products and smoking accessories
200,14,"Clothing, footwear, personal accessories, and related products"
201,141,"Clothing, footwear, and personal accessories"
202,14101,Clothing and footwear
203,1410101,Clothing and footwear
204,141010101,Clothing and footwear
205,14101010101,"Clothing, costumes, vestments, and fur apparel"
206,14101010102,Footwear and shoe accessories
207,14101010103,"Clothing accessories and personal accessories, except shoes, handbags, and jewelry"
208,14102,Fashion accessories
209,1410201,Fashion accessories
210,141020101,Fashion accessories
211,14102010101,"Leather and leather-like personal goods, including women's and children's handbags and purses"
212,14102010102,"Watches, fine jewelry, and costume jewelry"
213,142,"Wholesaling services for clothing, footwear, and personal accessories"
214,14201,"Wholesaling services for clothing, footwear, and personal accessories"
215,1420101,"Wholesaling services for clothing, footwear, and personal accessories"
216,142010101,"Wholesaling services for clothing, footwear, and personal accessories"
217,14201010101,Wholesaling services for clothing
218,14201010102,Wholesaling services for footwear and footwear accessories
219,14201010103,"Wholesaling services for clothing accessories, including costume jewelry"
220,14201010104,"Wholesaling services for jewelry, except costume"
221,14201010105,Wholesaling services for watches and watch parts
222,143,"Retailing services for clothing, footwear, and personal accessories"
223,14301,"Retailing services for clothing, footwear, and personal accessories"
224,1430101,"Retailing services for clothing, footwear, and personal accessories"
225,143010101,Retailing services for clothing and clothing accessories
226,14301010101,Retailing services for men's clothing
227,14301010102,Retailing services for women's clothing
228,14301010103,"Retailing services for children's wear, including boys', girls' , and infants' and toddlers' clothing and accessories retailing services"
229,14301010104,"Retailing services for costumes, vestments, and unisex clothing"
230,14301010105,"Retailing services for men's and women's accessories, except costume jewelry"
231,14301010106,Retailing services for costume and novelty jewelry
232,143010102,Retailing services for footwear and footwear accessories
233,14301010201,Retailing services for footwear and footwear accessories
234,143010103,Retailing services for fine jewelry and watches
235,14301010301,Retailing services for fine jewelry and watches
236,144,"Rental of formal wear, costumes, and accessories"
237,14401,"Rental of formal wear, costumes, and accessories"
238,1440101,"Rental of formal wear, costumes, and accessories"
239,144010101,"Rental of formal wear, costumes, and accessories"
240,14401010101,"Rental of formal wear, costumes, and accessories"
241,145,"Cleaning, alteration, and repair services for clothing, footwear, and personal accessories"
242,14501,"Cleaning, alteration, and repair services for clothing, footwear, and personal accessories"
243,1450101,"Cleaning, alteration, and repair services for clothing, footwear, and personal accessories"
244,145010101,"Laundry and drycleaning services, except commercial and agency services"
245,14501010101,Access to laundry machines
246,14501010102,Non-commercial laundry services
247,14501010103,Drycleaning services
248,14501010104,Steam pressing and ironing services
249,145010102,"Maintenance, repair, and alteration services for apparel, footwear, watches, and jewelry"
250,14501010201,"Maintenance, repair, and alteration services for apparel, footwear, watches, and jewelry"
251,145010103,Seasonal apparel and textile storage services
252,14501010301,Seasonal apparel and textile storage services
253,17,Housing and related products
254,171,Residential buildings and related products
255,17101,"Constructions of residential buildings, except apartment buildings, and related construction services"
256,1710101,"Constructions of residential buildings, except apartment buildings, and related construction services"
257,171010101,"Constructions of residential buildings, except apartment buildings, and related construction services"
258,17101010101,"Constructions of residential buildings, except apartment buildings"
259,17101010102,Residential building construction services
260,17102,Wholesaling services for manufactured (mobile) homes
261,1710201,Wholesaling services for manufactured (mobile) homes
262,171020101,Wholesaling services for manufactured (mobile) homes
263,17102010101,Wholesaling services for manufactured (mobile) homes
264,17103,Retailing services for manufactured (mobile) homes
265,1710301,Retailing services for manufactured (mobile) homes
266,171030101,Retailing services for manufactured (mobile) homes
267,17103010101,Retailing services for manufactured (mobile) homes
268,17104,"Home, apartment, rooming house, and other residential space rental"
269,1710401,"Home, apartment, rooming house, and other residential space rental"
270,171040101,"Home, apartment, rooming house, and other residential space rental"
271,17104010101,"Home, apartment, rooming house, and other residential space rental"
272,17105,"Residential building services, except construction services"
273,1710501,"Residential building services, except construction services"
274,171050101,Agent and brokerage services for the sale of residential real estate
275,17105010101,Agent and brokerage services for the sale and rental of residential real estate
276,171050102,Home mortgage financing
277,17105010201,Home mortgage financing
278,171050103,Underwriting services for homeowners multiple peril insurance policies
279,17105010301,Underwriting services for homeowners multiple peril insurance policies
280,171050104,"Home inspection services, including inspection services for new home construction"
281,17105010401,Home inspection services
282,17105010402,Combined home and pest inspection services
283,17105010403,New home construction inspection services
284,171050105,Household moving services
285,17105010501,Household moving services
286,171050106,Home cleaning services
287,17105010601,Residential interior cleaning services
288,17105010602,"On-site cleaning services for carpets, rugs, and upholstery, residential"
289,17105010603,Chimney cleaning services
290,171050107,Residential security services
291,17105010701,"Building security system monitoring services, residential"
292,17105010702,"Building security system and lock installation and repair services, residential"
293,17105010703,Key duplication services
294,171050108,Architectural services for residential building projects
295,17105010801,Architectural services for residential building projects
296,171050109,Interior decorating services
297,17105010901,Interior decorating services
298,171050110,"Pest extermination and control services, residential"
299,17105011001,"Pest extermination and control services, residential"
300,171050111,Engineering services for residential building projects
301,17105011101,Engineering services for residential building projects
302,172,Residential landscape constructions and related products
303,17201,Residential landscape constructions and related products
304,1720101,Residential landscape constructions and related products
305,172010101,Residential landscape constructions and related products
306,17201010101,"Residential landscape constructions, landscape construction services, and landscaping services"
307,17201010102,Landscape architectural services for residential building projects
308,21,"Household and personal goods, and related products"
309,211,Household and personal goods
310,21101,"Home furniture, furnishings, and accessories"
311,2110101,Home furniture and mattresses
312,211010101,Home furniture and mattresses
313,21101010101,Home furniture
314,21101010102,"Mattresses, including wire spring, innerspring, and other mattresses"
315,2110102,Home furnishings and accessories
316,211010201,Window treatments
317,21101020101,Window treatments
318,211010202,"Household linens and other household textile products, except floor coverings and window treatments"
319,21101020201,Bath linens
320,21101020202,Bed linens
321,21101020203,"Other household textile products, except floor coverings and window treatments "
322,211010203,"Household-type portable lighting fixtures, including parts and accessories"
323,21101020301,"Household-type portable lighting fixtures, including parts and accessories"
324,211010204,"Candles, including tapers"
325,21101020401,"Candles, including tapers"
326,211010205,"Decorative articles, all materials, nec."
327,21101020501,"Decorative articles, all materials, nec."
328,211010206,Other household furnishings
329,21101020601,Other household furnishings
330,21102,Household appliances 
331,2110201,Household appliances 
332,211020101,Household appliances 
333,21102010101,Household appliances 
334,21103,"Kitchenware, dinnerware, tableware (including plastics tableware), and utensils"
335,2110301,"Kitchenware, dinnerware, tableware (including plastics tableware), and utensils"
336,211030101,"Kitchenware, dinnerware, tableware (including plastics tableware), and utensils"
337,21103010101,"Kitchenware, dinnerware, tableware (including plastics tableware), and utensils"
338,21104,Home cleaning and laundry chemicals and supplies
339,2110401,Home cleaning and laundry chemicals and supplies
340,211040101,Home cleaning and laundry chemicals and supplies
341,21104010101,Home cleaning and laundry chemicals
342,21104010102,Home cleaning and laundry supplies
343,21105,Home lawn and garden products
344,2110501,Home lawn and garden products
345,211050101,Home lawn and garden products
346,21105010101,Home lawn and garden products
347,21106,"Household paper products, except tableware"
348,2110601,"Household paper products, except tableware"
349,211060101,"Household paper products, except tableware"
350,21106010101,"Household paper products, except tableware"
351,21107,"Household and personal goods, nec."
352,2110701,"Household and personal goods, nec."
353,211070101,"Household and personal goods, nec."
354,21107010101,"Paintings, sculptures, and other art works"
355,21107010102,Primary batteries
356,21107010103,"Other household and personal goods, nec."
357,212,Wholesaling services for household and personal goods
358,21201,Wholesaling services for household and personal goods
359,2120101,Wholesaling services for household and personal goods
360,212010101,"Wholesaling services for home furniture, furnishings, and accessories"
361,21201010101,Wholesaling services for household and lawn furniture
362,21201010102,Wholesaling services for window treatments
363,21201010103,"Wholesaling services for other textile house furnishings, except floor coverings"
364,21201010104,Wholesaling services for other household furnishings
365,212010102,"Wholesaling services for household appliances, including personal care appliances"
366,21201010201,"Wholesaling services for household appliances, including personal care appliances"
367,212010103,"Wholesaling services for tableware, kitchenware, cookware, and glassware"
368,21201010301,"Wholesaling services for tableware, kitchenware, cookware, and glassware"
369,212010104,"Wholesaling services for home lawn and garden equipment, tools, and supplies"
370,21201010401,"Wholesaling services for home lawn and garden equipment, tools, and supplies"
371,212010105,"Wholesaling services for household paper and plastic products, nec."
372,21201010501,"Wholesaling services for household paper and plastic products, nec."
373,212010106,"Wholesaling services for household and personal goods, nec."
374,21201010601,"Wholesaling services for household and personal goods, nec."
375,213,Retailing services for household and personal goods
376,21301,Retailing services for household and personal goods
377,2130101,Retailing services for household and personal goods
378,213010101,"Retailing services for home furniture, furnishings, and accessories"
379,21301010101,Retailing services for indoor home furniture
380,21301010102,Retailing services for outdoor/patio furniture
381,21301010103,Retailing services for mattresses and boxsprings
382,21301010104,Retailing services for window treatments
383,21301010105,"Retailing services for domestics and other textile home furnishings, except carpet and rugs"
384,21301010106,Retailing services for other home furnishings and accessories
385,213010102,Retailing services for household appliances and related parts and accessories
386,21301010201,Retailing services for household appliances and related parts and accessories
387,213010103,"Retailing services for tableware, kitchenware, cookware, and glassware"
388,21301010301,"Retailing services for tableware, kitchenware, cookware, and glassware"
389,213010104,Retailing services for household cleaning supplies
390,21301010401,Retailing services for household cleaning supplies
391,213010105,Retailing services for home lawn and garden goods
392,21301010501,Retailing services for home lawn and garden goods
393,213010106,"Retailing services for household paper and plastic products, except tableware"
394,21301010601,"Retailing services for household paper and plastic products, except tableware"
395,213010107,"Retailing services for antiques, collectibles, art works, and other used goods, except transportation and machinery goods"
396,21301010701,"Retailing services for antiques, collectibles, art works, and other used goods, except transportation and machinery goods"
397,213010108,"Retailing services for other household and personal goods, nec."
398,21301010801,"Retailing services for other household and personal goods, nec."
399,214,Rental services for household and personal goods
400,21401,Rental services for household and personal goods
401,2140101,Rental services for household and personal goods
402,214010101,"Rental services for home furniture, furnishings, and accessories"
403,21401010101,"Rental services for home furniture, furnishings, and accessories"
404,214010102,Rental services for home operation appliances and equipment
405,21401010201,Rental of household type appliances
406,21401010202,Rental of general homeowner tools and do-it-yourself equipment
407,214010103,"Rental services for household and personal goods, nec."
408,21401010301,"Rental services for household and personal goods, nec."
409,215,Services for household and personal goods
410,21501,Services for household and personal goods
411,2150101,Services for household and personal goods
412,215010101,Maintenance and repair services for household and personal goods
413,21501010101,"Off-site cleaning and repair services for home furniture, furnishings, and accessories, except curtain and drape cleaning services"
414,21501010102,Maintenance and repair services for home operation appliances and equipment
415,21501010103,"Maintenance and repair services for household and personal goods, nec."
416,24,"Home entertainment, recreation and culture products, including household pets and related products"
417,241,"Home entertainment, recreation and culture products"
418,24101,Home audio and visual equipment (except personal computers) and related products
419,2410101,Home audio and visual equipment (except personal computers) and related products
420,241010101,Home audio and visual equipment
421,24101010101,Home audio and visual equipment
422,241010102,Wholesaling services for home audio and visual equipment
423,24101010201,Wholesaling services for home audio and visual equipment
424,241010103,Retailing services for home audio and visual equipment
425,24101010301,"Retailing services for televisions, audio and video equipment"
426,24101010302,Retailing services for photographic equipment and supplies
427,241010104,Rental services for home audio and visual equipment
428,24101010401,"Rental of home audiovisual equipment, components and accessories, except computers and peripherals"
429,24101010402,"Rental of pre-recorded cassettes, tapes, discs, or video games "
430,241010105,Maintenance and repair services for home audio and visual equipment
431,24101010501,Maintenance and repair services for home audio and visual equipment
432,24102,Home programming distribution services
433,2410201,Home programming distribution services
434,241020101,Home programming distribution services
435,24102010101,Multichannel programming distribution services
436,24102010102,Installation services for connections to program distribution networks
437,24102010103,"Public and non-commercial programming services, television and radio"
438,24103,Home internet services
439,2410301,Home internet services
440,241030101,Home internet services
441,24103010101,"Internet access services, dial-up"
442,24103010102,"Internet access services, always-on, residential"
443,24104,"Newspapers, periodicals, books, other publications, and  pre-recorded media, and related products"
444,2410401,"Newspapers, periodicals, books, other publications, and pre-recorded media"
445,241040101,Newspapers
446,24104010101,Newspapers
447,241040102,Periodicals
448,24104010201,"Periodicals, general interest"
449,24104010202,"Periodicals, business (including farming), professional and academic "
450,24104010203,"Periodicals, nec."
451,241040103,Books
452,24104010301,Textbooks
453,24104010302,Children's books
454,24104010303,General reference books
455,24104010304,"Professional, technical and scholarly books"
456,24104010305,Adult trade books
457,241040104,Specialty content
458,24104010401,Specialty content for consumers 
459,24104010402,"Specialty content for trade, professional, and business"
460,241040105,"Audio recordings, except audio books"
461,24104010501,Musical recordings
462,24104010502,"Non-musical audio recordings, except audio books"
463,241040106,"Audiovisual recordings, including motion pictures, television programs, and music videos"
464,24104010601,"Audiovisual recordings, including motion pictures, television programs, and music videos"
465,241040107,Print music
466,24104010701,Print music
467,2410402,"Wholesaling services for newspapers, periodicals, books, other publications, and pre-recorded media"
468,241040201,"Wholesaling services for newspapers, periodicals, books, other publications, and pre-recorded media"
469,24104020101,Wholesaling services for audio and video recordings
470,24104020102,"Wholesaling services for newspapers, periodicals, books and other publications"
471,2410403,"Retailing services for newspapers, periodicals, books, other publications, and pre-recorded media"
472,241040301,"Retailing services for newspapers, periodicals, books, other publications, and pre-recorded media"
473,24104030101,Retailing services for books
474,24104030102,"Retailing services for magazines and newspapers, including issue format comic books"
475,24104030103,"Retailing services for other publications (including greeting cards and calendars), except audio and video recordings"
476,24104030104,"Retailing services for audio and video recordings, including purchased downloads"
477,24105,Admissions to film exhibitions
478,2410501,Admissions to film exhibitions
479,241050101,Admissions to film exhibitions
480,24105010101,Admissions to film exhibitions
481,24106,"Performing arts, live events, and public exhibitions, and related products"
482,2410601,Admissions to live performances and cultural institutions
483,241060101,Admissions to live performances and cultural institutions
484,24106010101,Admissions to live performing arts performances
485,24106010102,Admissions to cultural institutions
486,2410602,Membership services of performing arts societies and cultural institutions
487,241060201,Membership services of performing arts societies and cultural institutions
488,24106020101,Membership services of performing arts societies and cultural institutions
489,2410603,"Other cultural institution products, including academic trips and tours"
490,241060301,"Other cultural institution products, including academic trips and tours"
491,24106030101,Traveling exhibits
492,24106030102,"School visits, children's parties and similar children's programs of cultural institutions"
493,24106030103,Academic trips and tours
494,24107,Admissions to live sports events
495,2410701,Admissions to live sports events
496,241070101,Admissions to live sports events
497,24107010101,Admissions to live sports events
498,24108,"Recreation, sports, and fitness products (including boats, motorcycles, other sports vehicles, and musical instruments), and related products"
499,2410801,"Sporting and recreational equipment, and related products"
500,241080101,Sporting and recreational equipment
501,24108010101,Sporting goods and equipment
502,24108010102,"Bicycles and other cycles, all types, except children's sidewalk bikes"
503,241080102,Wholesaling services for sporting and recreational equipment
504,24108010201,Wholesaling services for sporting and recreational equipment
505,241080103,"Retailing services for sporting and recreational equipment, except home gym and related equipment"
506,24108010301,"Retailing services for bicycles and other cycles, all types, except children's sidewalk bikes, and parts and accessories"
507,24108010302,Retailing services for golf equipment
508,24108010303,"Retailing services for hunting, fishing, hiking, and camping equipment"
509,24108010304,"Retailing services for other sporting goods and equipment, except sports vehicles"
510,2410802,"Toys, games, and hobby kits and supplies (for home use), and related products "
511,241080201,"Toys, games, and hobby kits and supplies (for home use)"
512,24108020101,"Dolls, action figures, toy animals, and stuffed toys, including parts and accessories"
513,24108020102,"Baby carriages and children's vehicles (including parts for children's vehicles), except bicycles"
514,24108020103,"Models (operating and static), craft kits and supplies, natural science kits and sets, and collectors' miniatures"
515,24108020104,"Nonelectronic games and puzzles, including parts"
516,24108020105,"Other nonelectronic, nonriding toys, including parts"
517,24108020106,"Electronic toys and games (including video game devices and hand-held electronic home video games), except cartridges, disks, and tapes"
518,241080202,"Wholesaling services for toys, games, and hobby goods"
519,24108020201,"Wholesaling services for toys, games, and hobby goods"
520,241080203,"Retailing services for toys, games, and hobby and craft supplies"
521,24108020301,"Retailing services for toys, games, and hobby and craft supplies"
522,2410803,"Boats, motorcycles, and other sports vehicles (except mobile homes, motor homes (RVs), and travel/camping trailers), and related products"
523,241080301,"Boats, motorcycles, and other sports vehicles, except mobile homes, motor homes (RVs), and travel/camping trailers"
524,24108030101,Boats and other watercraft
525,24108030102,"Motorcycles, including three-wheel, motorbikes, motor scooters, mopeds, sidecars, and parts"
526,24108030103,Other recreational vehicles
527,241080302,"Wholesaling services for boats, motorcycles, and other sports vehicles"
528,24108030201,"Wholesaling services for boats, motorcycles, and other sports vehicles"
529,241080303,"Retailing services for boats, motorcycles, and other sports vehicles, except mobile homes, motor homes (RVs), and travel/camping trailers"
530,24108030301,"Retailing services for motorcycles, motor scooters, and motor bikes, including parts and accessories"
531,24108030302,Retailing services for boats and other sports vehicles
532,2410804,Musical instruments and related products
533,241080401,Musical instruments
534,24108040101,Musical instruments
535,241080402,Wholesaling services for musical instruments
536,24108040201,Wholesaling services for musical instruments
537,241080403,"Retailing services for musical instruments, sheet music, and related items"
538,24108040301,"Retailing services for musical instruments, sheet music, and related items"
539,2410805,"Rental services for recreational, sports, and fitness equipment, including boats, motorcycles, other sports vehicles, and musical instruments"
540,241080501,"Rental services for recreational, sports, and fitness equipment, including boats, motorcycles, other sports vehicles, and musical instruments"
541,24108050101,"Rental services for recreational, sports, and fitness equipment, including boats, motorcycles, other sports vehicles, and musical instruments"
542,2410806,"Maintenance and repair services for recreational, sports, and fitness equipment, including boats, motorcycles, other sports vehicles, and musical instruments"
543,241080601,"Maintenance and repair services for recreational, sports, and fitness equipment, including boats, motorcycles, other sports vehicles, and musical instruments"
544,24108060101,"Maintenance and repair services for recreational, sports, and fitness equipment, including boats, motorcycles, other sports vehicles, and musical instruments"
545,2410807,"Recreation, sports, fitness, and related services, except amusement park and arcade services"
546,241080701,"Recreation, sports, and fitness services"
547,24108070101,Golf course and country club services
548,24108070102,Skiing facility services
549,24108070103,Fitness and recreational sports center services
550,24108070104,"Other recreation, sports, and fitness services"
551,241080702,"Services related to recreation, sports, and fitness"
552,24108070201,Caddy services
553,24108070202,Hunting and fishing guide services
554,24108070203,Fitness evaluation and personal fitness training services
555,24108070204,"Overnight recreational camp accommodation, including camp tuition and fees"
556,24108070205,"Pleasure craft docking, launching, utilities, and storage services"
557,24108070206,Amateur sports team and club services
558,24108070207,Registration for sports tournaments and matches
559,24108070208,Sports coaching services
560,24109,Amusement park and arcade services
561,2410901,Amusement park and arcade services
562,241090101,Amusement park and arcade services
563,24109010101,Amusement park and arcade services
564,24110,"Other home entertainment, recreation and culture products"
